HHID,HV001,HV002,ta_id,urban_rural,HV246A,HV246D,HV246E,HV246G,HV248,HV245,HV271,HV251,HV204,HV206,HV226,HV219,HV243A,HV207,hhlivestock,livestock,sick,land,wealth,orphans,water,electricity,cooking,femalehh,cellphone,radio,urbanruralscore,capacity,na.rm
      718 11,"718","11","232",U,"0","0","0","0","0",,"361349","2","0","1","7","2","1","1","0","0","0.1474810976127772",,"3.943760088352732","0.2577521026250956","3.628017681060864","3.710833120585482","3.609805837617369","0","0","1.877714042914808","4",,"0"
      718 13,"718","13","232",U,"0","0","0","0","0",,"42087","0","15","1","7","1","0","0","0","0","0.1474810976127772",,"3.143997961090816","0.8923625860164812","2.331859911594696","3.710833120585482","3.609805837617369","1.128026505819387","1.482129956227955","0","4",,"0"
      718 16,"718","16","232",U,"0","0","0","0","0",,"132984","0","10","0","7","1","0","1","0","0","0.1474810976127772",,"3.619063800866536","0.8923625860164812","2.713362801768106","0","3.609805837617369","1.128026505819387","1.482129956227955","1.877714042914808","4",,"0"
      718 21,"718","21","232",U,"0","0","0","0","0",,"315818","1","0","1","1","1","1","1","0","0","0.1474810976127772",,"3.907059723048169","0.469968566816753","3.628017681060864","3.710833120585482","3.946977099885287","1.128026505819387","0","1.877714042914808","4",,"0"
      718 27,"718","27","232",U,"0","0","0","0","0",,"374623","1","0","1","7","1","1","1","0","0","0.1474810976127772",,"3.949027270410331","0.469968566816753","3.628017681060864","3.710833120585482","3.609805837617369","1.128026505819387","0","1.877714042914808","4",,"0"
      718 28,"718","28","232",U,"0","0","0","0","0",,"89662","0","60","0","7","1","1","1","0","0","0.1474810976127772",,"3.441848610993119","0.8923625860164812","0.2395443726623597","0","3.609805837617369","1.128026505819387","0","1.877714042914808","4",,"0"
      718 34,"718","34","232",U,"0","0","0","0","0",,"-38872","0","30","0","8","1","0","1","0","0","0.1474810976127772",,"1.924900178404554","0.8923625860164812","1.035532131927916","0","0.06933763861154778","1.128026505819387","1.482129956227955","1.877714042914808","4",,"0"
      719  7,"719","7","168",R,"0","0","0","0","0",,"50989","0","10","0","8","1","1","0","0","0","0.1474810976127772",,"3.211961600543709","0.8923625860164812","2.713362801768106","0","0.06933763861154778","1.128026505819387","0","0","0",,"0"
      719 12,"719","12","168",R,"0","0","0","0","0",,"29832","0","3","0","8","1","0","1","0","0","0.1474810976127772",,"3.031348228697647","0.8923625860164812","3.587215232913975","0","0.06933763861154778","1.128026505819387","1.482129956227955","1.877714042914808","0",,"0"
      719 16,"719","16","168",R,"0","0","0","0","0",,"73511","0","5","0","8","1","1","1","0","0","0.1474810976127772",,"3.360292243649647","0.8923625860164812","3.354301258075485","0","0.06933763861154778","1.128026505819387","0","1.877714042914808","0",,"0"
